K THIS WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS
1,Jon Rahm,74,1.025,56.372,55
2,Cameron Young,85,0.914,64.001,70
3,Rory McIlroy,60,0.771,40.068,52
4,Keith Mitchell,91,0.761,54.809,72
5,Corey Conners,94,0.7,49.724,71
6,Brendan Steele,77,0.694,43.003,62
7,Luke List,83,0.677,43.354,64
8,Sungjae Im,95,0.651,48.826,75
9,Cameron Champ,56,0.637,29.95,47
10,Matt Fitzpatrick,73,0.636,30.505,48
11,Will Zalatoris,85,0.602,34.29,57
12,Taylor Pendrith,75,0.591,34.873,59
13,Hayden Buckley,93,0.568,43.749,77
14,Joaquin Niemann,84,0.545,31.608,58
15,Tony Finau,89,0.543,38.535,71
16,Justin Thomas,79,0.538,32.8,61
17,Patrick Cantlay,75,0.526,27.343,52
18,Emiliano Grillo,86,0.48,33.632,70
19,Seth Reeves,71,0.475,23.279,49
20,Paul Barjon,75,0.454,28.601,63
21,Trey Mullinax,84,0.451,29.771,66
22,Anirban Lahiri,72,0.448,26.86,60
23,Keegan Bradley,87,0.433,28.609,66
24,Austin Smotherman,83,0.428,26.966,63
25,Max Homa,89,0.425,29.769,70
26,Viktor Hovland,77,0.423,23.71,56
27,Ryan Palmer,71,0.404,20.211,50
28,Charles Howell III,54,0.398,18.688,47
29,Abraham Ancer,63,0.395,18.163,46
30,Jhonattan Vegas,77,0.393,23.205,59
31,Aaron Wise,86,0.387,29.805,77
T32,Nick Hardy,67,0.386,17.392,45
T32,Mito Pereira,90,0.386,28.946,75
34,Xander Schauffele,79,0.372,21.217,57
35,Chris Kirk,88,0.367,23.123,63
36,Collin Morikawa,68,0.361,17.312,48
37,Scottie Scheffler,95,0.356,23.482,66
38,Jordan Spieth,77,0.335,20.438,61
39,Joseph Bramlett,87,0.332,22.253,67
40,Tyler Duncan,86,0.33,21.475,65
41,Davis Riley,98,0.312,25.624,82
42,Kevin Streelman,88,0.304,24.33,80
43,Gary Woodland,69,0.303,16.986,56
44,Si Woo Kim,101,0.287,23.212,81
45,James Hahn,79,0.286,17.184,60
46,Ryan Armour,56,0.28,9.807,35
47,Maverick McNealy,97,0.277,20.194,73
48,Matt Jones,61,0.253,12.911,51
49,Taylor Moore,92,0.243,18.948,78
50,Billy Horschel,78,0.237,13.008,55
T51,Kramer Hickok,91,0.232,17.137,74
T51,Sebastián Muñoz,86,0.232,16.014,69
53,Lucas Glover,95,0.23,18.822,82
54,K.H. Lee,98,0.22,18.929,86
55,Brooks Koepka,51,0.21,8.193,39
56,Wyndham Clark,101,0.209,15.642,75
57,Alex Smalley,95,0.207,15.505,75
58,Troy Merritt,93,0.201,14.882,74
59,J.T. Poston,90,0.18,14.439,80
60,Martin Laird,72,0.175,10.693,61
T61,Michael Gligic,79,0.168,9.562,57
T61,Matthew NeSmith,96,0.168,13.124,78
63,Brandon Wu,78,0.165,8.267,50
T64,Seamus Power,85,0.163,9.634,59
T64,Patrick Rodgers,89,0.163,11.254,69
66,Shane Lowry,65,0.16,7.702,48
67,Satoshi Kodaira,51,0.159,6.535,41
68,Adam Scott,76,0.158,9.956,63
69,Aaron Rai,93,0.146,10.084,69
70,Kurt Kitayama,74,0.142,6.53,46
71,Joel Dahmen,89,0.14,10.342,74
72,Russell Knox,93,0.139,10.296,74
73,Cam Davis,86,0.138,10.502,76
74,Doug Ghim,90,0.135,9.157,68
T75,Brian Harman,94,0.127,9.66,76
T75,Hideki Matsuyama,72,0.127,7.216,57
77,J.J. Spaun,95,0.124,9.03,73
78,Callum Tarren,77,0.122,6.589,54
79,Lee Hodges,95,0.119,9.914,83
80,Jason Kokrak,64,0.117,5.982,51
81,Stewart Cink,77,0.1,6.603,66
82,Erik van Rooyen,51,0.09,3.603,40
83,Adam Long,90,0.088,6.683,76
84,Brandon Hagy,82,0.079,4.752,60
85,Danny Lee,54,0.072,2.894,40
86,Sam Burns,84,0.067,4.628,69
87,Russell Henley,81,0.06,3.763,63
88,Tom Hoge,101,0.058,4.269,74
89,Brice Garnett,83,0.042,2.565,61
90,Robert Streb,87,0.037,2.678,73
91,Sahith Theegala,115,0.03,2.863,95
92,Branden Grace,56,0.028,1.186,43
93,Tommy Fleetwood,61,0.027,1.077,40
94,Sepp Straka,103,0.023,1.667,74
T95,Scott Piercy,85,0.022,1.491,67
T95,Justin Rose,61,0.022,0.826,38
97,Cameron Percy,50,0.021,0.663,32
98,Jason Day,61,0.018,0.921,51
T99,Nate Lashley,76,0.017,1.033,61
T99,Greyson Sigg,96,0.017,1.228,72
101,Danny Willett,66,0.016,0.657,42
102,Kiradech Aphibarnrat,59,0.015,0.541,36
103,Lanto Griffin,78,0.012,0.814,68
104,Charley Hoffman,75,0.008,0.484,58
105,Chase Seiffert,59,0.003,0.094,37
T106,Kevin Chappell,63,0.001,0.028,44
T106,David Lipsky,92,0.001,0.061,72
T108,Jonas Blixt,52,-0.005,-0.229,42
T108,Adam Svensson,102,-0.005,-0.454,84
110,Hudson Swafford,64,-0.008,-0.363,48
111,John Huh,80,-0.012,-0.746,61
112,Alex Noren,73,-0.019,-0.906,48
113,Marc Leishman,79,-0.021,-1.312,63
114,Rickie Fowler,71,-0.022,-1.259,56
115,Scott Stallings,98,-0.024,-2.023,84
116,C.T. Pan,82,-0.027,-1.922,71
117,Curtis Thompson,70,-0.029,-1.289,44
118,Dawie van der Walt,66,-0.03,-1.447,48
T119,Christiaan Bezuidenhout,87,-0.035,-1.949,55
T119,Jim Herman,53,-0.035,-1.514,43
121,Nick Taylor,88,-0.036,-2.487,69
122,Webb Simpson,62,-0.044,-2.291,52
123,Tyrrell Hatton,72,-0.047,-2.238,48
T124,Adam Schenk,94,-0.052,-3.966,77
T124,Vince Whaley,91,-0.052,-3.5,67
126,Harold Varner III,76,-0.058,-3.309,57
127,Carlos Ortiz,61,-0.069,-3.581,52
128,Jared Wolfe,61,-0.079,-3.736,47
129,Andrew Novak,78,-0.08,-4.298,54
130,Adam Hadwin,92,-0.084,-6.4,76
131,Rory Sabbatini,55,-0.087,-4.366,50
132,Kelly Kraft,75,-0.102,-5.81,57
133,Kevin Tway,83,-0.105,-7.009,67
134,Doc Redman,85,-0.114,-7.168,63
135,Beau Hossler,72,-0.121,-7.855,65
136,Cameron Smith,66,-0.125,-6.142,49
137,Garrick Higgo,62,-0.128,-4.853,38
138,Mark Hubbard,76,-0.13,-7.141,55
139,Cameron Tringale,99,-0.135,-9.863,73
140,Talor Gooch,78,-0.138,-7.574,55
141,Vaughn Taylor,57,-0.15,-6.016,40
142,Sam Ryder,92,-0.153,-11.919,78
143,Patton Kizzire,92,-0.16,-13.09,82
144,Joshua Creel,53,-0.163,-6.02,37
145,Scott Gutschewski,62,-0.164,-6.219,38
146,Denny McCarthy,102,-0.183,-15.927,87
T147,Dylan Frittelli,93,-0.192,-14.008,73
T147,Chad Ramey,79,-0.192,-10.572,55
149,Chez Reavie,91,-0.209,-15.652,75
150,Ian Poulter,51,-0.219,-7.88,36
151,Henrik Norlander,78,-0.222,-13.301,60
152,Roger Sloan,75,-0.232,-14.354,62
153,Matthew Wolff,50,-0.234,-8.899,38
154,Hank Lebioda,86,-0.235,-15.947,68
155,Bo Hoag,55,-0.237,-8.755,37
156,Andrew Putnam,96,-0.238,-19.247,81
157,Dylan Wu,73,-0.239,-12.201,51
158,Matthias Schwab,76,-0.241,-13.24,55
159,Lucas Herbert,59,-0.247,-9.882,40
160,Michael Thompson,88,-0.255,-18.889,74
161,Francesco Molinari,53,-0.267,-10.694,40
162,Peter Malnati,103,-0.268,-23.283,87
163,Matt Kuchar,71,-0.272,-16.319,60
164,Bill Haas,98,-0.276,-18.737,68
165,Jason Dufner,56,-0.287,-11.194,39
166,Mackenzie Hughes,85,-0.289,-19.075,66
167,Jim Knous,57,-0.29,-10.433,36
168,Max McGreevy,76,-0.316,-17.69,56
169,Kevin Kisner,77,-0.317,-17.439,55
170,Camilo Villegas,75,-0.331,-16.882,51
171,Justin Lower,80,-0.334,-18.022,54
172,Zach Johnson,64,-0.338,-18.567,55
T173,Brendon Todd,87,-0.34,-23.82,70
T173,Martin Trainer,84,-0.34,-21.101,62
175,Austin Cook,75,-0.348,-18.453,53
176,Harry Higgs,86,-0.35,-23.785,68
177,Brandt Snedeker,61,-0.355,-17.38,49
178,Sung Kang,86,-0.386,-23.905,62
179,Pat Perez,62,-0.402,-20.509,51
180,Chesson Hadley,86,-0.433,-27.684,64
181,Matt Wallace,60,-0.45,-22.043,49
182,Brian Stuard,95,-0.475,-32.762,69
183,Patrick Reed,73,-0.503,-25.641,51
184,Stephan Jaeger,93,-0.506,-36.929,73
185,Ben Kohles,69,-0.546,-24.586,45
186,Nick Watney,80,-0.553,-34.292,62
187,Jonathan Byrd,61,-0.591,-25.393,43
188,Richy Werenski,69,-0.689,-35.144,51
189,Brett Drewitt,62,-0.726,-30.5,42
190,David Skinns,70,-0.819,-42.58,52
191,Luke Donald,67,-0.84,-43.705,52
192,Seung-Yul Noh,69,-1.137,-52.297,46
193,Wesley Bryan,53,-1.574,-61.38,39
